,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2,Date,本项目招标公告日期,中标日期,评审专家名单,总中标金额,提交文件截止时间,资格审查日期,获取谈判文件的地点,获取谈判文件的时间,获取磋商文件时间,获取磋商文件地点,响应文件递交时间,响应文件递交地点,响应文件开启时间,响应文件开启地点,采购人,采购人地址,采购人联系方式,成交日期,谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单,总成交金额,首次公告日期,更正日期,附件3,附件4,定标日期,评标委员会成员名单,报名时间,报名地点,附件5,谈判小组、询价小组成员名单及单一来源采购人员名单
http://www.ccgp.gov.cn/specialtopic/pppzt/news/201610/t20161031_7504647.htm,,,,,,,,,,,,,,,,,,,,,2016年10月31日  09:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201910/t20191029_13207211.htm,商都县七台镇污水处理厂提标改造工程施工,工程/构筑物施工,商都县住房和城乡建设局,乌兰察布市,2019年10月29日  11:20,详见公告正文,详见公告正文,详见公告正文,2019年11月26日  09:30,,详见公告正文,详见公告正文,详见公告正文,详见公告正文,详见公告正文,内蒙古宏远工程项目管理有限责任公司,详见公告正文,详见公告正文,,,2019年10月29日 11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/df/neimenggu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cgml/df/201803/t20180322_9689486.htm,,,,,,,,,,,,,,,,,,,,,2018年03月22日  10:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/neimenggu/201804/t20180425_9836210.htm,,,,,,,,,,,,,,,,,,,,,2018年04月25日  15:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201804/t20180402_9735013.htm,内蒙古自治区通信管理局电信用户申诉处理平台采购项目,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,内蒙古自治区通信管理局,呼和浩特市,2018年04月02日  15:07,,,,,,,杨越,0471-6262369,内蒙古自治区呼和浩特市赛罕区呼伦南路73号,杨越0471-6262369,内蒙古亿丰项目管理有限公司,内蒙古自治区呼和浩特市新城区新华大街38号内蒙古计算机应用研究院5楼,田峰15147150332,,,2018年04月02日 15:07,2018年03月12日,2018年04月02日,吴绍辉（采购人代表）、李英民、倪桂珍、王健、邹春英,￥56 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201904/t20190428_11990830.htm,乌拉山镇第二污水处理厂建设项目政府和社会资本合作（PPP）项目,服务/其他服务,乌拉特前旗住房和城乡建设局,巴彦淖尔市,2019年04月28日  19:59,,,,,,,详见公告正文,详见公告正文,详见公告正文,详见公告正文,内蒙古中诚项目管理有限公司,详见公告正文,详见公告正文,,,2019年04月28日 19:59,详见公告正文,详见公告正文,详见公告正文,详见公告正文,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201904/t20190426_11975865.htm,科左中旗花吐古拉污水处理及道路排水等基础设施建设（一期）工程监理,服务/信息技术服务,科左中旗花吐古拉工业园区管理委员会,科尔沁左翼中旗,2019年04月26日  10:49,详见公告正文,详见公告正文,详见公告正文,2019年05月17日  09:30,,详见公告正文,详见公告正文,详见公告正文,详见公告正文,详见公告正文,内蒙古招标有限责任公司,详见公告正文,详见公告正文,,,2019年04月26日 10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201912/t20191230_13675654.htm,涞源县污水处理厂扩建工程PPP项目,服务/其他服务,涞源县住房和城乡建设局,涞源县,2019年12月30日  16:23,,,,,,,赵连会、乔利红,0311-85621373,涞源县涞源镇开源路18号,刘少俊  0312-7319526,中帅项目管理有限责任公司,石家庄市桥西区中山西路690号金业大厦7楼,赵连会、乔利红    0311-85621373,,,2019年12月30日 16:23,,,,,,,,,,,,,,,,,,,,,2019年12月27日,2019年12月30日,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201912/t20191206_13508888.htm,涞源县污水处理厂扩建工程PPP项目,服务/其他服务,涞源县住房和城乡建设局,涞源县,2019年12月06日  20:21, 2019年12月07日  09:30  至  2019年12月13日  17:00,￥1000,资格预审通过者，可在“河北省公共资源交易服务平台”报名自行下载招标文件等相关资料，并及时查看有无澄清和修改，注册完成且网上报名成功后需到中帅项目管理有限责任公司进行现场报名购买招标文件(报名有效期内）,2019年12月26日  13:30,涞源县公共资源交易中心开标室,￥9649.430000万元（人民币）,赵连会、乔利红,0311-85621373,涞源县涞源镇开源路18号,刘少俊  0312-7319526,中帅项目管理有限责任公司,石家庄市桥西区中山西路690号金业大厦7楼,赵连会、乔利红    0311-85621373,,,2019年12月06日 20:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200123_13806959.htm,华亭生活污水处理厂扩容改造工程PPP项目社会资本方采购,服务,华亭县水务局,华亭县,2020年01月23日  08:54,,,,,,,赵先生,0933-7721298,甘肃省平凉市华亭县南新街22号,18293380895,正大鹏安建设项目管理有限公司,陕西省西安市新城区长乐中路38号金华新都汇29幢3单元31201室,18093306821,谈判备忘录.pdf,,2020年01月23日 08:54,2020年01月16日,2019年09月23日,"任 君, 张有权, 田家明, 李 斌, 芦 琪",￥0.061250 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201904/t20190430_12001768.htm,垃圾处理场渗滤液处理系统及雨污分流建设等工程项目,,叶县城市管理局,叶县,2019年04月30日  12:01,,,,,,,韩晓海,0375-3311118,叶县昆阳街道东菜园社区 ,0375-3311118,北京从头越建筑造价咨询有限公司,平顶山光明路南环路交汇处向南100米听海文化传播有限公司六楼602室,18537563069,,,2019年04月30日 12:01,2019年04月30日,2019年04月30日,0,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201908/t20190806_12620098.htm,华亭生活污水处理厂扩容改造工程PPP项目社会资本方采购（二次）,服务,华亭县水务局,华亭县,2019年08月06日  16:25,,,,,,,赵先生,0933-7721298,甘肃省平凉市华亭县南新街22号,18293380895,正大鹏安建设项目管理有限公司,陕西省西安市新城区长乐中路38号金华新都汇29幢3单元31201室,18093306821,,,2019年08月06日 16:25,,,,,2019年08月28日  09:00 ,"	2019年08月28日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201802/t20180207_9565412.htm,清河经济开发区污水处理厂二期改扩建工程PPP项目社会资本方采购,,清河国际羊绒科技园区管理委员会,清河县,2018年02月07日  10:53,,,,,,,晋杰,18803195131,河北省清河县泰山中路1号,0319-8176990,河北博鳌招标代理有限公司,石家庄市桥西区友谊南大街122号,0311-83055039,,,2018年02月07日 10:53,2018年01月16日,2018年02月06日,杨建芳、张桂义、张海英、张炜、陈军瑛、王丽娟、冯伟（采购人代表）,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/yqzbgg/201803/t20180329_9723229.htm,,,,,,,,,,,,,,,,,,,,,2018年03月29日 15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201901/t20190129_11584695.htm,共和县污水管网与污水处理厂提标改造及扩建工程PPP项目（第二次）,,共和县环境保护和林业局,共和县,2019年01月29日  12:02,,,,,,,共和县环境保护和林业局,共和县环境保护和林业局,海南州共和县城北新区政和大街,联系人：羊中彭措 联系电话：0974-8512486,四川国际招标有限责任公司,西宁市城西区东交通巷1号银泰大厦4楼,联系人：陈先生联系电话：0971-8290228,,,2019年01月29日 12:02,,,,,,,,,,,,,,,,,,,,,2017年10月13日,2019年01月29日,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201907/t20190726_12540452.htm,岑巩县县城污水处理扩容及提标工程PPP项目,,岑巩县水务局,岑巩县,2019年07月26日  09:11,,,,,,,王小姣,18585622558,黔东南苗族侗族自治州思旸镇新兴大道45号,18286591764,贵州正佳咨询有限公司,贵州省贵阳市遵义路318号兰桂酒楼5楼,18585622558,,,2019年07月26日 09:11,2019年05月16日,2019年07月25日,谢城、杨哲鉴、杨贵明、陈中屏、胡子慧,￥9954.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180306_9637826.htm,阜平县城东水厂、城东污水处理厂、城西水厂PPP项目,,阜平县住房和城乡建设局,阜平县,2018年03月06日  18:41, 2018年03月07日  18:28  至  2018年03月13日  18:28,￥0,河北省石家庄市长安区和平东路362号2号楼904室,2018年04月04日  09:30,阜平县公共资源交易中心第一开标室,￥25473.18万元（人民币）,张辰,0312-7223861,河北省保定市阜平县,0312-7223861,江苏现代资产投资管理顾问有限公司,南京市鼓楼区中山路55号A34,13032635496,,,2018年03月06日 18:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201911/t20191105_13263832.htm,纳雍县水务局采购城东、城北污水处理厂设备设施维修、更换单位项目,,纳雍县水务局,毕节市,2019年11月05日  16:51,,,,,,,杨工,0857-3669677,纳雍县工业园区农村淘宝3号楼7楼,18685795292,贵州恒盛达招投标有限公司,纳雍县发展大道雍和世纪城政务中心12楼,0857-3669677,,,2019年11月05日 16:51,2019年11月05日,2019年11月05日,李浩、翟敏、岳仕祥、柯丽波、贺成,￥289.980000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201712/t20171214_9338791.htm,大名县城西工业园区污水处理厂（PPP)项目竞争性磋商资格预审公告,,河北大名经济开发区管理委员会机关,大名县,2017年12月14日  17:05, 2017年12月15日  15:46  至  2017年12月21日  15:46,￥1000,石家庄市红旗大街25号西清公寓写字楼5楼502室,2018年01月04日  09:30,大名县公共资源交易中心四楼开标室,￥5255.8万元（人民币）,蔡华毅,13292821158,大名府路东段,13021461908,河北华业招标有限公司,石家庄市红旗大街25号西清公寓写字楼6楼,13292821158,,,2017年12月14日 17:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201910/t20191028_13201950.htm,玉门市经济开发区老市区化工工业园污水处理厂工程PPP项目,工程,玉门市老市区管理委员会,玉门市,2019年10月28日  16:56,,,,,,,王洁莹,13993734527,玉门是老市区解放门,13993734527,甘肃天城工程咨询有限公司,甘肃省酒泉市肃州区南环东路7-6号楼821号,0937-5994050,,,2019年10月28日 16:56,,,,,2019年10月18日  15:00 ,"	2019年10月28日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/201909/t20190911_12880092.htm,剑河县南明镇中心卫生院污水处理系统采购项目,,剑河县卫生健康局,剑河县,2019年09月11日  07:57,,,,,,￥54.870000万元（人民币）,雷远书,0855-8224356      18084551702,剑河县卫生健康局,13765598836,贵州百利工程建设咨询有限公司,凯里市龙隐山庄18-3, 0855-8224356      18084551702 ,,,2019年09月11日 07:57,,,,,,,贵州百利工程建设咨询有限公司（凯里市龙隐山庄2栋18-C）,2019年09月11日  09:00  至  2019年09月16日  17:00,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201811/t20181107_11059794.htm,北流市清湾镇等南部8个乡镇污水处理厂及配套管网工程PPP项目社会资本方采购资格预审结果更正公告,工程/其他建筑工程,北流市城市管理行政执法局,北流市,2018年11月07日  19:14,,,,,,,陈宇辉 ,0775-6223661,北流市原党校大院内,陈宇辉  0775-6223661,广西德承工程项目管理有限公司,北流市永顺六区191号,黄婷婷 0775-6351368,北流市清湾镇等南部8个乡镇污水处理厂及配套管网工程PPP项目社会资本方采购-资格预审文件.doc,,2018年11月07日 19:14,,,,,,,,,,,,,,,,,,,,,2018年11月05日,2018年11月07日,,,,,,,,
http://www.ccgp.gov.cn/oss/download?uuid=86F7FAAF33BBCDB980CA5765360ABE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201811/t20181112_11087821.htm,北流市新丰镇等北部 8 个乡镇污水处理厂及配套管网工程 PPP 项目,服务/其他服务,北流市城市管理行政执法局  ,北流市,2018年11月12日  15:47,,,,,,,玉积,0771-5384792/18407711672,玉林市北流市新圩镇西宁街115号新圩镇人民政府,陈宇辉   0771-6223661？,广西华诚达建设项目管理有限公司,南宁市青秀区长湖路20号绿城国际1004室,玉积   0771-5384792/18407711672,资格预审结果公示-北流市新丰镇等北部 8 个乡镇污水处理厂及配套管网工程PPP 项目.doc,,2018年11月12日 15:47,2018年11月07日,2018年11月12日,晏英梅、袁新、梁优健、吴恒、马中桂、陈宇辉、王一飞,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/hunan/201704/t20170411_8098400.htm,,,,,,,,,,,,,,,,,,,,,2017年04月11日  08:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201910/t20191025_13184109.htm,松桃自治县县城及五个乡镇污水处理工程PPP项目,,松桃自治县水务局,松桃苗族自治县,2019年10月25日  15:06,,,,,,,罗培,15761662185,松桃自治县水务局,13638144124,贵州兴五环招标有限公司,贵阳市瑞金北路1号,15761662185,,,2019年10月25日 15:06,2019年07月30日,2019年09月26日,杨莲、杨华、杨桢、强自明、张娇、肖璐、李昭贞,￥123867.460000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201802/t20180201_9544908.htm,全县乡镇污水处理工程可行性研究报告编制,,织金水务投资建设有限责任公司,毕节市,2018年02月01日  11:46,,,,,,,李女士,0857-7632138,织金县,15085803565,织金县政府采购中心,织金县政务北楼四楼,0857-7632138,,,2018年02月01日 11:46,2018年01月29日,2018年02月01日,余红梅  周强  李建群（采购人代表）,￥48.91 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201909/t20190929_13018732.htm,清镇市农村环境综合整治PPP项目社会投资人采购,,清镇市水务管理局,贵阳市,2019年09月29日  16:46,,,,,,,周超阳,17785400296,贵州省贵阳市清镇市新华路301号,0851-82522246,贵州新阳光项目管理有限公司,贵阳市观山湖区诚信北路8号绿地联盛国际5号楼30层,null,,,2019年09月29日 16:46,,,,,2019年10月28日  10:30 ,"	2019年10月28日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201807/t20180718_10302699.htm,白云区黑石头片区污水处理厂PPP项目,,白云区住房和乡镇规划建设局,贵阳市,2018年07月18日  16:16,,,,,,,张然然,18761872968,贵阳市白云区健康路15号,18586986866,贵州阳光产权交易所有限公司,贵阳市观山湖区阳关大道112号,0851—86797066,,,2018年07月18日 16:16,2018年03月26日,2018年07月06日,李金升、李凯、戴长禄、王志强、何平、黄万鑫（业主代表）、胡鑫（业主代表）,￥6776.22 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201906/t20190613_12253313.htm,北票市污水处理厂及配套管网工程PPP项目,服务/环境服务/水污染治理服务/污水治理及其再生利用服务,北票市城乡规划局,北票市,2019年06月13日  11:43,,,,,,,宾华、蒋衍、郑婷、陈柳,024-23180489-811  ,朝阳市北票市青年路34号,颜慧颖   0421-5086505,辽宁合建项目管理咨询有限公司,沈阳市和平区青年大街386号华阳国际大厦22楼,宾华、蒋衍、郑婷、陈柳   024-23180489-811  ,,,2019年06月13日 11:43,2019年05月21日,2019年06月13日,李艳梅、杨柏志、张志光、王世莲、颜慧颖,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201907/t20190712_12447601.htm,北票市污水处理厂及配套管网工程PPP项目,服务/环境服务/水污染治理服务/污水治理及其再生利用服务,北票市城乡规划局,北票市,2019年07月12日  15:58,,,,,,,宾华、蒋衍、郑婷、陈柳,024-23180489-811  ,朝阳市北票市青年路34号,颜慧颖   0421-5086505,辽宁合建项目管理咨询有限公司,沈阳市和平区青年大街386号华阳国际大厦22楼,宾华、蒋衍、郑婷、陈柳   024-23180489-811  ,（公示）北票市污水处理厂及配套管网工程PPP项目特许经营协议.pdf,,2019年07月12日 15:58,2019年06月17日,,,,,,,,,,,,,,,,,2019年07月12日,钟玉芳、高洁、张桂艳、崔静、王立芹、路广川、王雅楠,￥36780.000000 万元（人民币）,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201903/t20190304_11706205.htm,北票市污水处理厂及配套管网工程PPP项目前期咨询服务机构,服务/其他服务,北票市城乡规划局,辽宁省,2019年03月04日  14:59, 2019年03月04日  08:30  至  2019年03月08日  16:30,￥500,北票双兴建设工程招投标代理有限公司,2019年03月29日  09:00,北票市公共资源交易中心（北票市行政审批综合楼三楼西侧）开标室，以招标文件为准。逾期送达的或者未送达到指定地点，招标人不予受理。,￥70.000000万元（人民币）,颜女士,0421-5086505 ,北票市,颜女士 0421-5086505 ,北票双兴建设工程招投标代理有限公司,北票市南山街新华路中段,丁为0421-5828168,,,2019年03月04日 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201908/t20190807_12629979.htm,滨州市城区南部污水处理厂及配套管网工程PPP项目施工监理,,滨州市住房和城乡建设局,滨州市,2019年08月07日  17:05,,,,,,,详见公告正文,详见公告正文,详见公告正文,详见公告正文,滨州市庚昱工程咨询有限公司,详见公告正文,详见公告正文,,,2019年08月07日 17:05,详见公告正文,详见公告正文,详见公告正文,详见公告正文,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201709/t20170915_8853277.htm,南召县云阳镇污水处理工程BOT项目,,南召县云阳镇人民政府,南召县,2017年09月15日  17:17,,,,,,,刘先生,0377-60559888,南召县云阳镇,18568779388,河南鑫汇招标代理有限公司,南阳市人民北路南航大厦后院四楼,0377-60559888,,,2017年09月15日 17:17,2017年09月15日,2017年09月15日,无,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201712/t20171214_9339149.htm,南召县云阳镇新建污水处理工程项目一期施工及工程监理审定招标控制价,,南阳水木环保有限责任公司,南阳市,2017年12月14日  17:22, 2017年12月14日  17:18  至  2017年12月14日  17:18,￥1000,南召县公共资源交易中心,2017年12月14日  17:18,南召县公共资源交易中心,￥3934.2万元（人民币）,刘先生,60559888,南召县,高浩杰,河南鑫汇招标代理有限公司,南阳市人民北路,60559888,,,2017年12月14日 17:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201907/t20190704_12395134.htm,南召县贫困村整村推进基础设施建设PPP项目（二期）二次,,南召县金财投资开发有限公司,南召县,2019年07月04日  17:59,,,,,,,王秀玲,0377-66917605,南召县黄洋路财政局院内,0377-66917605,中科高盛咨询集团有限公司,郑州市郑东新区龙湖大厦,15290355137,,,2019年07月04日 17:59,2019年06月06日,2019年07月04日,刘士萍、王晓、王长军、贾大多、龚健冲、王强、梁海鸿,￥28989.680000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201810/t20181012_10873417.htm,江西省江西南康经济开发区管理委员会南康工业园区及家具集聚区污水处理厂PPP项目社会资本方采购,服务/其他服务,江西南康经济开发区管理委员会,南康市,2018年10月12日  12:14,,,,,,,邱先生,0797-6552990,南康区文峰路,邱先生、0797-6552990,赣州市南康区环宇招标代理有限公司,南康区夜市街蓉江西路28号,陈静、0797-6616675,G061资格预审公告(上中国政府采购网）.doc,,2018年10月12日 12:14,,,,,2018年11月05日  09:30 ,"	2018年11月05日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/201510/t20151014_5965887.htm,,,,,,,,,,,,,,,,,,,,,2015年10月14日 17:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201906/t20190610_12228664.htm,长葛市城乡规划设计服务单位采购项目（二次）,,长葛市城乡规划局,长葛市,2019年06月10日  10:28,,,,,,,王先生 ,15037485600,长葛市葛天大道市政府5号楼,13937478102,河南华明工程造价咨询有限公司,郑州高新技术产业开发区西三环路283号18号楼14层39号,15037485600,,,2019年06月10日 10:28,2019年04月25日,2019年06月10日,15037485600,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201908/t20190812_12657151.htm,临江市六道沟镇污水处理厂项目启动社会资本项目,工程/构筑物施工/环保工程施工/污水处理工程施工,临江市六道沟镇政府,临江市,2019年08月12日  08:59,,,,,,￥4419.320000万元（人民币）,孙先生,13179176660,吉林省临江市财政局6楼,孙先生  13179176660,长春市中诚建工程管理咨询有限公司,长春市净月区生态大街1572号恒丰国际B座22楼2219室,张先生  0431-80534955,,,2019年08月12日 08:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201909/t20190916_12911877.htm,吉林省临江市六道沟镇污水处理厂项目监理,工程/其他建筑工程,临江市六道沟镇基础设施经营管理有限公司,临江市,2019年09月16日  11:14, 2019年09月17日  09:00  至  2019年09月23日  16:00,￥200,（http://bsggzyjy.cbs.gov.cn/ ）白山市公共资源交易网,2019年10月10日  14:00,临江市建筑工程交易中心,￥75.000000万元（人民币）,王女士,0431-88597299,临江市,孙先生13894082788,吉林省万力工程项目管理有限公司,长春市临河街8377号,王女士0431-88597299,,,2019年09月16日 11:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201901/t20190130_11591808.htm,临江市六道沟镇污水处理厂项目实施方案,服务/工程咨询管理服务/其他工程咨询管理服务,临江市六道沟镇财政所,临江市,2019年01月30日  11:54,,,,,,,周宗林,15843930955,临江市六道沟镇六道沟街道,周宗林,辽宁方圆工程造价咨询事务所有限公司,长春市绿园区西安大路3850号,何经理0431-80802349,,,2019年01月30日 11:54,,,,,,,,,2019年01月30日  09:00至2019年02月03日  16:00,辽宁方圆工程造价咨询事务所有限公司,2019年02月21日  13:30至2019年02月21日  13:30,临江市政务大厅4楼,2019年02月21日  13:30,临江市政务大厅4楼,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201901/t20190130_11591825.htm,临江市六道沟镇污水处理厂工程项目财政承受能力论证,工程/其他建筑工程,临江市财政局,临江市,2019年01月30日  11:58,,,,,,,孙栗男,0439-5223748,吉林省临江市站前路1号,孙栗男0439-5223748,辽宁方圆工程造价咨询事务所有限公司,长春市绿园区西安大路3850号,王经理0431-80802349,,,2019年01月30日 11:58,,,,,,,,,2019年01月30日  09:00至2019年02月03日  16:00,长春市绿园区西安大路3850号辽宁方圆工程造价咨询事务所有限公司,2019年02月22日  13:30至2019年02月22日  13:30,临江市政务大厅4楼,2019年02月22日  13:30,临江市政务大厅4楼,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201906/t20190619_12293665.htm,临江市城乡生活垃圾转运系统建设工程项目,工程/构筑物施工/环保工程施工/其他环保工程施工,临江市市容环境卫生管理处,临江市,2019年06月19日  16:36,,,,,,,崔先生,15304396865,吉林省临江市文明小区环卫处,崔先生  15304396865,长春市中诚建工程管理咨询有限公司,长春市净月区生态大街1572号恒丰国际B座22楼2219室,张先生  0431-80534955,公告.doc,,2019年06月19日 16:36,,,,,2019年07月11日  09:00 ,"	2019年07月11日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201901/t20190130_11591827.htm,临江市桦树镇污水处理厂工程项目物有所值评价报告,服务/其他服务,吉林省临江经济开发区管理委员会,吉林省,2019年01月30日  11:57,,,,,,,刘大伟,0439-5267875,临江市站前路社保大楼,联系人：刘大伟      电话：0439-5267875,辽宁方圆工程造价咨询事务所有限公司,长春市绿园区西安大路3850号,联系人：王经理  何经理 电话：0431-80802349,,,2019年01月30日 11:57,,,,,,,,,2019年01月30日  09:00至2019年02月03日  16:00,辽宁方圆工程造价咨询事务所有限公司,2019年02月22日  08:30至2019年02月22日  10:30,临江市政务大厅4楼,2019年02月22日  10:30,临江市政务大厅4楼,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201901/t20190130_11591804.htm,临江市桦树镇污水处理厂工程项目财政承受能力论证,工程/其他建筑工程,临江市财政局,临江市,2019年01月30日  11:52,,,,,,,孙栗男,0439-5223748,吉林省临江市站前路1号,孙栗男 0439-5223748,辽宁方圆工程造价咨询事务所有限公司,长春市绿园区西安大路3850号,王经理  0431-80802349,,,2019年01月30日 11:52,,,,,,,,,2019年01月30日  09:00至2019年02月03日  16:00,长春市绿园区西安大路3850号辽宁方圆工程造价咨询事务所有限公司,2019年02月22日  13:30至2019年02月22日  13:30,临江市政务大厅4楼,2019年02月22日  13:30,临江市政务大厅4楼,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181029_10984563.htm,梅河口市山城镇污水处理厂建设工程PPP项目咨询服务机构采购项目,服务/环境服务/水污染治理服务/污水治理及其再生利用服务,梅河口市山城镇人民政府,梅河口市,2018年10月29日  07:46, 2018年10月29日  09:00  至  2018年11月02日  16:00,￥500,详见招标公告,2018年11月19日  13:30,梅河口市建设工程交易中心开标室（建设局519室）,￥25.000000万元（人民币）,王女士,18744575526,梅河口市山城镇团结街,张先生  0435-4810909,吉林同正招标有限公司,18744575526,王女士,,,2018年10月29日 07:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201905/t20190505_12013450.htm,梅河口市山城镇人民政府污水处理厂建设工程社会资本PPP项目,服务/其他服务,梅河口市山城镇人民政府,梅河口市,2019年05月05日  09:23,,,,,,,刘虹, 0435-4637555,梅河口市山城镇团结街,张先生           15526614000 ,吉林省信广达招标代理有限公司,梅河口市人民大街3500-01号805室,刘虹        0435-4637555 ,资格预审公告.docx,,2019年05月05日 09:23,,,,,2019年05月24日  09:30 ,"	2019年05月24日",,,,,,,,,,,,,,,,,,,,,,,,
